club,name,position,age,overall,nationality,image,Unnamed: 7
Bournemouth,J. Lowe,ATA ME MD,28,70,Jamaica,/211/384/24_180.png,
Bournemouth,G. Kilkenny,VOL MC,23,65,Ireland,/243/767/24_180.png,
Bournemouth,B. Johnson,PD MD ME,17,62,England,/277/918/24_180.png,
Bournemouth,W. Dennis,GOL,22,62,England,/243/048/24_180.png,
Bournemouth,N. Moriah-Welsh,MC,21,61,Guyana,/264/192/24_180.png,
Bournemouth,B. Greenwood,LE ZAG,20,59,Ireland,/264/193/24_180.png,
Bournemouth,O. Bevan,ZAG,19,58,Wales,/271/235/24_180.png,
Bournemouth,D. Sadi,MD ME,19,57,England,/273/587/24_180.png,
Burnley,M. Trésor,ME PE MEI,24,78,Belgium,/253/150/24_180.png,
Burnley,N. Redmond,MD ME ATA,29,77,England,/198/719/24_180.png,
Burnley,W. Weghorst,ATA,30,77,Netherlands,/223/689/24_180.png,
Burnley,J. Cullen,VOL MC,27,76,Ireland,/228/151/24_180.png,
Burnley,J. Beyer,ZAG,23,75,Germany,/242/660/24_180.png,
Burnley,J. Brownhill,MC MEI VOL,27,75,England,/220/659/24_180.png,
Burnley,A. Murić,GOL,24,75,Kosovo,/233/164/24_180.png,
Burnley,C. Roberts,LD LD,27,75,Wales,/225/147/24_180.png,
Burnley,S. Berge,MC,25,75,Norway,/228/092/24_180.png,
Burnley,Z. Amdouni,ATA MEI,22,74,Switzerland,/262/642/24_180.png,
Burnley,B. Manuel,MD PD,26,74,Belgium,/222/724/24_180.png,
Burnley,A. Zaroury,ME ATA,22,74,Morocco,/260/843/24_180.png,
Burnley,C. Taylor,ZAG LE,29,73,England,/204/760/24_180.png,
Burnley,J. Cork,VOL MC,34,73,England,/169/706/24_180.png,
Burnley,J. Rodriguez,ATA,33,73,England,/169/792/24_180.png,
Burnley,J. Larsen,ATA ME,24,73,Denmark,/227/503/24_180.png,
Burnley,H. Ekdal,ZAG,24,73,Sweden,/252/316/24_180.png,
Burnley,J. Guðmundsson,MD MEI VOL,32,73,Iceland,/191/076/24_180.png,
Burnley,D. O'Shea,ZAG LD,24,72,Ireland,/235/405/24_180.png,
Burnley,A. Al Dakhil,ZAG,21,72,Belgium,/263/573/24_180.png,
Burnley,H. Delcroix,ZAG LE,24,72,Belgium,/237/440/24_180.png,
Burnley,J. Trafford,GOL,20,71,England,/263/063/24_180.png,
Burnley,H. Massengo,VOL MC,21,71,France,/246/594/24_180.png,
Burnley,L. McNally,ZAG,23,71,Ireland,/247/395/24_180.png,
Burnley,S. Twine,PE MEI ME,23,71,England,/237/619/24_180.png,
Burnley,B. Peacock-Farrell,GOL,26,71,Northern Ireland,/229/091/24_180.png,
Burnley,Vitinho,LD MD LE,23,71,Brazil,/244/661/24_180.png,
Burnley,S. Bastien,MC ME,26,70,Democratic Republic Congo,/223/926/24_180.png,
Burnley,A. Ramsey,ME MC MEI,20,70,England,/266/270/24_180.png,
Burnley,M. Obafemi,ATA,22,69,Ireland,/242/265/24_180.png,
Burnley,D. Churlinov,MD LD,22,69,North Macedonia,/251/545/24_180.png,
Burnley,L. Koleosho,ME MD PD,18,69,Italy,/266/041/24_180.png,
Burnley,L. Foster,ATA,22,69,South Africa,/241/173/24_180.png,
Burnley,W. Odobert,ME PE MD,18,68,France,/270/579/24_180.png,
Burnley,C. Egan-Riley,LD ZAG,20,67,England,/268/131/24_180.png,
Burnley,L. Vigouroux,GOL,29,65,Chile,/213/413/24_180.png,
Burnley,O. Dodgson,LE LE,20,62,England,/264/505/24_180.png,
Burnley,D. Franchi,GOL,20,61,Italy,/261/892/24_180.png,
Burnley,L. Richardson,ATA,20,61,England,/261/265/24_180.png,
Burnley,D. Costelloe,MD ATA,20,61,Ireland,/271/018/24_180.png,
Burnley,M. Lewis,MEI ATA,21,59,England,/248/464/24_180.png,
Burnley,M. Mellon,ATA,19,58,Scotland,/273/619/24_180.png,
Burnley,B. Ward,ZAG LE VOL,19,57,England,/274/404/24_180.png,
Brighton,L. Dunk,ZAG,31,81,England,/199/915/24_180.png,
Brighton,K. Mitoma,ME,26,81,Japan,/255/565/24_180.png,
Brighton,P. Estupiñán,LE,25,80,Ecuador,/237/942/24_180.png,
Brighton,P. Groß,MC VOL LD,32,79,Germany,/190/765/24_180.png,
Brighton,S. March,MD,28,79,England,/206/594/24_180.png,
Brighton,A. Webster,ZAG,28,78,England,/207/616/24_180.png,
Brighton,M. Dahoud,MC VOL,27,78,Germany,/218/339/24_180.png,
Brighton,Ansu Fati,ME ATA MEI,20,78,Spain,/253/004/24_180.png,
Brighton,J. Veltman,LD ZAG,31,78,Netherlands,/208/004/24_180.png,
Brighton,J. Milner,MC LD,37,77,England,/138/412/24_180.png,
Brighton,Igor,ZAG,25,76,Brazil,/241/585/24_180.png,
Brighton,A. Lallana,MEI MC VOL,35,76,England,/180/819/24_180.png,
Brighton,B. Verbruggen,GOL,20,75,Netherlands,/258/498/24_180.png,
Brighton,D. Welbeck,ATA,32,75,England,/186/146/24_180.png,
Brighton,T. Lamptey,LD LD LE,22,75,Ghana,/242/418/24_180.png,
Brighton,D. Undav,ATA MEI,26,75,Germany,/244/176/24_180.png,
Brighton,João Pedro,ATA MEI,21,74,Brazil,/252/042/24_180.png,
Brighton,E. Ferguson,ATA,18,74,Ireland,/259/608/24_180.png,
Brighton,S. Adingra,ME ATA,21,74,Ivory Coast,/260/779/24_180.png,
Brighton,J. Steele,GOL,32,73,England,/188/836/24_180.png,
Brighton,J. van Hecke,ZAG,23,73,Netherlands,/258/908/24_180.png,
Brighton,J. Moder,MC VOL ME,24,73,Poland,/239/778/24_180.png,
Brighton,A. Sima,ATA ME,22,73,Senegal,/259/816/24_180.png,
Brighton,B. Gilmour,VOL MC,22,73,Scotland,/245/992/24_180.png,
Brighton,S. Alzate,MC,24,73,Colombia,/236/529/24_180.png,
Brighton,J. Enciso,ME MEI MD,19,71,Paraguay,/255/434/24_180.png,
Brighton,K. Kozłowski,ME MEI,19,69,Poland,/252/508/24_180.png,
Brighton,C. Baleba,MC VOL,19,69,Cameroon,/272/500/24_180.png,
Brighton,F. Buonanotte,MD MEI,18,69,Argentina,/269/495/24_180.png,
Brighton,C. Rushworth,GOL,21,68,England,/263/339/24_180.png,
Brighton,K. Scherpen,GOL,23,67,Netherlands,/243/675/24_180.png,
Brighton,J. Weir,MC,21,66,England,/246/054/24_180.png,
Brighton,M. Leonard,MC VOL,21,65,Scotland,/264/139/24_180.png,
Brighton,J. Beadle,GOL,18,64,England,/273/621/24_180.png,
Brighton,E. Turns,ZAG,20,64,Wales,/263/901/24_180.png,
Brighton,Y. Ayari,MC MEI,19,63,Sweden,/257/400/24_180.png,
Brighton,O. Offiah,ZAG LD,20,62,England,/264/141/24_180.png,
Brighton,J. Hinshelwood,VOL,18,60,England,/277/283/24_180.png,
Brighton,T. McGill,GOL,23,58,Canada,/243/588/24_180.png,
Brighton,J. Mullins,MEI,18,58,Ireland,/263/411/24_180.png,
Brighton,C. Peupion,MEI,20,57,Australia,/264/124/24_180.png,
Brighton,I. Samuels,LE,20,55,England,/250/830/24_180.png,
Derby County,E. Cashin,ZAG,21,70,Ireland,/263/914/24_180.png,
Derby County,C. Hourihane,MC VOL,32,69,Ireland,/193/849/24_180.png,
Derby County,C. Nelson,ZAG,30,68,England,/200/840/24_180.png,
Derby County,J. Wildsmith,GOL,27,68,England,/220/944/24_180.png,
Derby County,M. Bird,VOL MC,22,68,England,/241/419/24_180.png,
Derby County,R. Nyambe,LD LD ZAG,25,68,Namibia,/228/684/24_180.png,
Derby County,N. Méndez-Laing,MD PD,31,67,Guatemala,/194/964/24_180.png,
Derby County,M. Waghorn,ATA MEI,33,67,England,/183/706/24_180.png,
Derby County,T. Fornah,MC VOL,23,67,Sierra Leone,/251/420/24_180.png,
Derby County,S. Bradley,ZAG,31,67,England,/203/749/24_180.png,
Derby County,J. Ward,LD LD MD,27,67,England,/228/894/24_180.png,
Derby County,K. Smith,VOL MC LD,32,66,England,/189/619/24_180.png,
Derby County,C. Forsyth,LE LE ZAG,34,66,Scotland,/204/353/24_180.png,
Derby County,C. Elder,LE LE ZAG,28,66,Australia,/215/412/24_180.png,
Derby County,K. Wilson,LD LD,23,66,England,/235/618/24_180.png,
Derby County,J. Vickers,GOL,27,66,England,/224/130/24_180.png,
Derby County,J. Collins,ATA,32,66,Ireland,/194/018/24_180.png,
Derby County,E. Embleton,MEI VOL MD,24,66,England,/235/913/24_180.png,
Derby County,C. Washington,ATA,31,65,Northern Ireland,/217/758/24_180.png,
Derby County,T. Barkhuizen,ME MD,29,65,England,/201/240/24_180.png,
Derby County,L. Sibley,MEI LE,21,65,England,/245/340/24_180.png,
Derby County,L. Thompson,VOL MC,21,64,England,/263/918/24_180.png,
Derby County,J. Rooney,ZAG LD,19,62,England,/271/566/24_180.png,
Derby County,S. Loach,GOL,35,60,England,/167/803/24_180.png,
Derby County,D. Robinson,MC VOL,18,56,Northern Ireland,/270/593/24_180.png,
Derby County,B. Radcliffe,MC ZAG,19,55,England,/269/931/24_180.png,
Derby County,M. Bardell,LD ZAG,20,53,England,/263/915/24_180.png,
Fulham,Palhinha,VOL MC,27,84,Portugal,/229/391/24_180.png,
Fulham,B. Leno,GOL,31,82,Germany,/192/563/24_180.png,
Fulham,I. Diop,ZAG,26,78,France,/231/633/24_180.png,
Fulham,T. Castagne,LD LE PD,27,77,Belgium,/222/501/24_180.png,
Fulham,Willian,ME MD,34,77,Brazil,/180/403/24_180.png,
Fulham,Andreas Pereira,MEI,27,77,Brazil,/208/450/24_180.png,
Fulham,S. Lukić,MC VOL,26,77,Serbia,/236/699/24_180.png,
Fulham,T. Adarabioyo,ZAG,25,77,England,/222/104/24_180.png,
Fulham,H. Reed,VOL MC,28,76,England,/205/990/24_180.png,
Fulham,B. De Cordova-Reid,MD ME,30,76,Jamaica,/203/502/24_180.png,
Fulham,A. Iwobi,MD MC,27,76,Nigeria,/213/655/24_180.png,
Fulham,Adama Traoré,MD PD,27,76,Spain,/213/956/24_180.png,
Fulham,K. Tete,LD,27,76,Netherlands,/216/266/24_180.png,
Fulham,A. Robinson,LE LE,25,76,United States,/229/348/24_180.png,
Fulham,K. Mbabu,LD MD,28,76,Switzerland,/210/625/24_180.png,
Fulham,H. Wilson,MD PD,26,75,Wales,/220/710/24_180.png,
Fulham,R. Jiménez,ATA,32,75,Mexico,/204/838/24_180.png,
Fulham,Vinícius,ATA,28,75,Brazil,/244/621/24_180.png,
Fulham,M. Rodák,GOL,26,75,Slovakia,/222/951/24_180.png,
Fulham,C. Bassey,ZAG LE,23,74,Nigeria,/241/436/24_180.png,
Fulham,T. Cairney,MC MEI,32,74,Scotland,/195/202/24_180.png,
Fulham,T. Ream,ZAG,35,73,United States,/198/261/24_180.png,
Fulham,F. Ballo-Touré,LE ME,26,72,Senegal,/236/723/24_180.png,
Fulham,T. Kongolo,ZAG LE,29,70,Netherlands,/203/485/24_180.png,
Fulham,Rodrigo Muniz,ATA,22,69,Brazil,/264/337/24_180.png,
Fulham,S. Benda,GOL,24,67,Germany,/241/076/24_180.png,
Fulham,A. Pajaziti,VOL ME MC,20,63,Albania,/270/680/24_180.png,
Fulham,T. Francois,MC VOL,22,62,Australia,/241/825/24_180.png,
Fulham,K. Bowie,ATA MD,20,61,Scotland,/257/104/24_180.png,
Fulham,L. Harris,MEI,18,61,Wales,/270/937/24_180.png,
Fulham,K. Šekularac,MEI,19,60,Switzerland,/270/682/24_180.png,
Fulham,M. Godo,MD PE,20,59,England,/271/940/24_180.png,
Fulham,G. Wickens,GOL,21,58,England,/258/792/24_180.png,
Fulham,L. Ashby-Hammond,GOL,22,58,England,/242/382/24_180.png,
Fulham,T. Ablade,ATA,21,58,Finland,/266/368/24_180.png,
Fulham,S. Parkes,LE ZAG,19,58,England,/271/939/24_180.png,
Fulham,I. Odutayo,ZAG LE,20,57,England,/270/683/24_180.png,
Fulham,O. O'Neill,MEI ME,20,57,Ireland,/270/679/24_180.png,
Fulham,C. Donnell,MC VOL,19,55,Australia,/268/605/24_180.png,
Middlesbrough,D. Lenihan,ZAG,29,73,Ireland,/211/009/24_180.png,
Middlesbrough,P. McNair,ZAG,28,72,Northern Ireland,/213/697/24_180.png,
Middlesbrough,I. Jones,MD LD,24,72,England,/253/055/24_180.png,
Middlesbrough,R. McGree,ME MC,24,72,Australia,/233/487/24_180.png,
Middlesbrough,D. Fry,ZAG,25,72,England,/229/682/24_180.png,
Middlesbrough,L. O'Brien,MC VOL ME,24,72,England,/236/530/24_180.png,
Middlesbrough,M. Crooks,MC MEI,29,71,England,/202/693/24_180.png,
Middlesbrough,J. Howson,VOL MC,35,71,England,/183/422/24_180.png,
Middlesbrough,D. Barlaser,VOL MC,26,71,England,/227/806/24_180.png,
Middlesbrough,H. Hackney,VOL MC,21,71,England,/253/054/24_180.png,
Middlesbrough,S. Dieng,GOL,28,71,Senegal,/239/358/24_180.png,
Middlesbrough,T. Smith,LD,31,71,England,/203/783/24_180.png,
Middlesbrough,M. Clarke,ZAG,26,71,England,/221/600/24_180.png,
Middlesbrough,M. Forss,ATA MD PD,24,70,Finland,/241/523/24_180.png,
Middlesbrough,A. Bangura,LE,23,69,Sierra Leone,/262/255/24_180.png,
Middlesbrough,E. Latte Lath,ATA,24,69,Ivory Coast,/237/295/24_180.png,
Middlesbrough,A. Dijksteel,ZAG LD LD,26,69,Suriname,/232/413/24_180.png,
Middlesbrough,L. Engel,LE,24,68,Denmark,/260/842/24_180.png,
Middlesbrough,H. Coulson,LE LE,25,67,England,/230/807/24_180.png,
Middlesbrough,M. Rogers,ME ATA PE,20,67,England,/260/247/24_180.png,
Middlesbrough,M. Hoppe,ATA PE,22,67,United States,/259/751/24_180.png,
Middlesbrough,L. Roberts,GOL,28,66,England,/211/604/24_180.png,
Middlesbrough,S. Silvera,ME MD,22,65,Australia,/251/176/24_180.png,
Middlesbrough,S. Brynn,GOL,22,65,England,/242/853/24_180.png,
Middlesbrough,J. Coburn,ATA,20,65,England,/261/432/24_180.png,
Middlesbrough,T. Glover,GOL,25,64,Australia,/232/110/24_180.png,
Middlesbrough,Z. Hemming,GOL,23,64,England,/240/597/24_180.png,
Middlesbrough,J. Jones,GOL,34,64,England,/182/365/24_180.png,
Middlesbrough,R. van den Berg,ZAG,18,63,Netherlands,/259/442/24_180.png,
Middlesbrough,A. Gilbert,ME MD,21,60,Ireland,/260/402/24_180.png,
Middlesbrough,B. Bilongo,LE,21,55,England,/273/535/24_180.png,
Middlesbrough,S. Finch,ATA,17,51,England,/271/311/24_180.png,
Middlesbrough,C. Sykes,MC VOL,20,50,England,/253/770/24_180.png,
Norwich,C. Fassnacht,MD MC,29,76,Switzerland,/234/913/24_180.png,
Norwich,Gabriel Sara,MC,24,74,Brazil,/270/571/24_180.png,
Norwich,Hwang Ui Jo,ATA PE,30,74,South Korea,/212/260/24_180.png,
Norwich,A. Gunn,GOL,27,74,Scotland,/216/325/24_180.png,
Norwich,J. Stacey,LD LD,27,73,England,/221/282/24_180.png,
Norwich,A. Forshaw,VOL MC,31,73,England,/193/910/24_180.png,
Norwich,S. Duffy,ZAG,31,73,Ireland,/192/622/24_180.png,
Norwich,G. Hanley,ZAG,31,73,Scotland,/198/904/24_180.png,
Norwich,J. Sargent,ATA MD,23,73,United States,/242/075/24_180.png,
Norwich,D. Giannoulis,LE,27,72,Greece,/236/457/24_180.png,
Norwich,K. McLean,VOL MC LE,31,72,Scotland,/201/368/24_180.png,
Norwich,O. Hernández,ME,30,71,Cuba,/202/017/24_180.png,
Norwich,M. Núñez,MC,23,71,Chile,/256/051/24_180.png,
Norwich,A. Barnes,ATA,33,71,England,/186/905/24_180.png,
Norwich,C. Tzolis,ME,21,71,Greece,/256/948/24_180.png,
Norwich,G. Long,GOL,29,70,England,/202/199/24_180.png,
Norwich,S. McCallum,LE LE,22,70,England,/246/155/24_180.png,
Norwich,Borja Sainz,ME MD,22,70,Spain,/252/929/24_180.png,
Norwich,D. Batth,ZAG,32,70,England,/195/037/24_180.png,
Norwich,B. Gibson,ZAG,30,69,England,/200/408/24_180.png,
Norwich,J. Sørensen,VOL MC ZAG,25,69,Denmark,/233/705/24_180.png,
Norwich,P. Płacheta,ME MD,25,69,Poland,/239/439/24_180.png,
Norwich,J. Rowe,ME MD,20,68,England,/266/500/24_180.png,
Norwich,L. Gibbs,MC VOL,20,67,England,/256/620/24_180.png,
Norwich,A. Idah,ATA,22,67,Ireland,/244/288/24_180.png,
Norwich,T. Springett,MD ME,20,63,Ireland,/268/909/24_180.png,
Norwich,J. Tomkinson,ZAG,21,62,United States,/266/147/24_180.png,
Norwich,B. Hills,ZAG,19,61,England,/276/436/24_180.png,
Norwich,D. Barden,GOL,22,60,Wales,/248/741/24_180.png,
Norwich,A. Kamara,ME ATA,19,60,England,/270/379/24_180.png,
Norwich,J. McCracken,GOL,23,58,Scotland,/242/983/24_180.png,
Norwich,J. Warner,ZAG,20,57,England,/270/380/24_180.png,
Norwich,K. Fisher,LD LD MD,19,57,England,/275/988/24_180.png,
Norwich,L. Shipley,ZAG LE,19,55,England,/277/007/24_180.png,
Norwich,F. Welch,MC,18,53,England,/277/981/24_180.png,
Norwich,C. Ansen,GOL,17,52,England,/278/956/24_180.png,
Nottingham Forest,I. Sangaré,VOL MC,25,81,Ivory Coast,/235/173/24_180.png,
Nottingham Forest,O. Vlachodimos,GOL,29,81,Greece,/211/990/24_180.png,
Nottingham Forest,G. Montiel,LD LD,26,79,Argentina,/231/340/24_180.png,
Nottingham Forest,Felipe,ZAG,34,78,Brazil,/207/863/24_180.png,
Nottingham Forest,S. Aurier,LD LD,30,78,Ivory Coast,/197/853/24_180.png,
Nottingham Forest,T. Awoniyi,ATA,25,77,Nigeria,/230/978/24_180.png,
Nottingham Forest,M. Niakhaté,ZAG,27,77,Senegal,/225/859/24_180.png,
Nottingham Forest,M. Turner,GOL,29,77,United States,/233/267/24_180.png,
Nottingham Forest,N. Domínguez,VOL MC,25,77,Argentina,/237/819/24_180.png,
Nottingham Forest,M. Gibbs-White,MEI ATA PE,23,77,England,/236/015/24_180.png,
Nottingham Forest,O. Mangala,MC VOL,25,76,Belgium,/234/078/24_180.png,
Nottingham Forest,Danilo,VOL MC,22,76,Brazil,/273/106/24_180.png,
Nottingham Forest,W. Boly,ZAG,32,76,Ivory Coast,/202/750/24_180.png,
Nottingham Forest,C. Wood,ATA,31,75,New Zealand,/192/123/24_180.png,
Nottingham Forest,R. Yates,VOL MC,25,75,England,/235/642/24_180.png,
Nottingham Forest,C. Kouyaté,VOL MC ZAG,33,75,Senegal,/186/801/24_180.png,
Nottingham Forest,C. Hudson-Odoi,PE PD,22,75,England,/240/740/24_180.png,
Nottingham Forest,D. Origi,ATA PE,28,75,Belgium,/213/135/24_180.png,
Nottingham Forest,J. Shelvey,MC VOL,31,75,England,/189/165/24_180.png,
Nottingham Forest,J. Worrall,ZAG,26,74,England,/230/708/24_180.png,
Nottingham Forest,N. Williams,LD LD LE,22,74,Wales,/243/057/24_180.png,
Nottingham Forest,S. McKenna,ZAG,26,73,Scotland,/225/974/24_180.png,
Nottingham Forest,W. Hennessey,GOL,36,73,Wales,/170/084/24_180.png,
Nottingham Forest,E. Dennis,ME ATA,25,73,Nigeria,/239/015/24_180.png,
Nottingham Forest,O. Aina,LE ME MD,26,73,Nigeria,/224/656/24_180.png,
Nottingham Forest,A. Elanga,PD ATA PE,21,73,Sweden,/257/470/24_180.png,
Nottingham Forest,E. Horvath,GOL,28,72,United States,/219/736/24_180.png,
Nottingham Forest,H. Toffolo,LE LE,27,72,England,/206/086/24_180.png,
Nottingham Forest,R. Laryea,LD LE MD,28,71,Canada,/232/081/24_180.png,
Nottingham Forest,A. Omobamidele,ZAG,21,70,Ireland,/261/647/24_180.png,
Nottingham Forest,Murillo,ZAG,20,69,Brazil,/278/016/24_180.png,
Nottingham Forest,J. Bowler,MD PD,24,69,England,/237/809/24_180.png,
Nottingham Forest,J. Panzo,ZAG,22,69,England,/252/001/24_180.png,
Nottingham Forest,L. Mbe Soh,ZAG,22,67,France,/248/603/24_180.png,
Nottingham Forest,A. Mighten,ME ATA,21,66,England,/254/859/24_180.png,
Nottingham Forest,B. Aguilera,MEI MC,20,65,Costa Rica,/268/719/24_180.png,
Nottingham Forest,D. Taylor,ATA,19,63,Northern Ireland,/265/468/24_180.png,
Nottingham Forest,F. Back,LD LD,20,62,England,/263/951/24_180.png,
Nottingham Forest,A. Donnelly,ZAG,20,61,Northern Ireland,/264/269/24_180.png,
Nottingham Forest,A. Konaté,MEI PE,22,60,France,/251/524/24_180.png,
Nottingham Forest,G. Shelvey,GOL,22,56,England,/251/423/24_180.png,
QPR,A. Begović,GOL,36,73,Bosnia,/172/723/24_180.png,
QPR,I. Chair,MEI ME,25,73,Morocco,/238/490/24_180.png,
QPR,R. Cannon,ZAG LD LD,25,73,United States,/237/000/24_180.png,
QPR,C. Willock,PE ATA ME,25,72,England,/225/785/24_180.png,
QPR,S. Cook,ZAG,32,72,England,/193/011/24_180.png,
QPR,S. Field,VOL MC,25,71,England,/233/957/24_180.png,
QPR,K. Paal,LE LE,26,71,Suriname,/228/120/24_180.png,
QPR,L. Dykes,ATA,27,70,Scotland,/247/279/24_180.png,
QPR,J. Clarke-Salter,ZAG,25,69,England,/230/774/24_180.png,
QPR,J. Colback,VOL MC LE,33,69,England,/193/942/24_180.png,
QPR,J. Dunne,ZAG,25,69,Ireland,/235/156/24_180.png,
QPR,M. Fox,ZAG LE,29,68,Wales,/208/806/24_180.png,
QPR,P. Smyth,MD ME LD,25,68,Northern Ireland,/241/075/24_180.png,
QPR,O. Kakay,LD LD ZAG,25,67,Sierra Leone,/230/815/24_180.png,
QPR,A. Dozzell,MC VOL,24,67,England,/233/276/24_180.png,
QPR,T. Richards,MEI MC,22,66,England,/243/393/24_180.png,
QPR,A. Adomah,MD LD,35,66,Ghana,/186/783/24_180.png,
QPR,J. Archer,GOL,30,66,Scotland,/205/352/24_180.png,
QPR,S. Armstrong,ATA PE,20,63,Ireland,/272/365/24_180.png,
QPR,E. Dixon-Bonner,MC VOL,22,61,England,/242/787/24_180.png,
QPR,C. Kelman,ATA,21,61,United States,/246/604/24_180.png,
QPR,Z. Larkeche,LE LE,20,60,France,/257/105/24_180.png,
QPR,M. Mahoney,GOL,21,60,England,/268/544/24_180.png,
QPR,S. Duke-McKenna,MC MEI MD,22,57,Guyana,/242/961/24_180.png,
QPR,J. Walsh,GOL,21,57,England,/250/804/24_180.png,
QPR,J. Gubbins,ZAG,21,57,England,/255/071/24_180.png,
QPR,A. Aoraha,MC,20,56,Iraq,/274/931/24_180.png,
QPR,A. Drewe,LD LD,22,56,England,/265/441/24_180.png,
QPR,S. Bala,MEI PE ME,19,56,Albania,/278/027/24_180.png,
QPR,R. Kolli,ATA MEI PD,18,55,Algeria,/277/658/24_180.png,
QPR,H. Kargbo,ATA ZAG,21,54,England,/276/723/24_180.png,
QPR,A. Lloyd,ATA,20,53,England,/262/290/24_180.png,
Reading,L. Wing,VOL MC,28,68,England,/238/839/24_180.png,
Reading,T. McIntyre,ZAG VOL LE,24,67,Scotland,/235/028/24_180.png,
Reading,A. Yiadom,LD LD ZAG,31,67,Ghana,/208/052/24_180.png,
Reading,O. Ejaria,MEI ME,25,67,England,/236/246/24_180.png,
Reading,S. Smith,ATA MD,25,66,England,/235/247/24_180.png,
Reading,T. Holmes,ZAG,23,66,England,/241/411/24_180.png,
Reading,Joel Pereira,GOL,27,66,Portugal,/212/710/24_180.png,
Reading,D. Button,GOL,34,66,England,/173/533/24_180.png,
Reading,A. Mbengue,LD ZAG,21,65,Senegal,/264/437/24_180.png,
Reading,H. Dean,ZAG,31,65,England,/191/079/24_180.png,
Reading,N. Guinness-Walker,LE LE,23,65,England,/248/880/24_180.png,
Reading,P. Mukairu,PE,23,65,Nigeria,/252/580/24_180.png,
Reading,S. Hutchinson,VOL ZAG,33,65,England,/169/708/24_180.png,
Reading,H. Knibbs,MEI ME MD,24,65,England,/241/428/24_180.png,
Reading,F. Azeez,MEI MD ATA,22,64,England,/253/433/24_180.png,
Reading,N. Abbey,ZAG,19,64,England,/258/522/24_180.png,
Reading,C. Savage,VOL MC,20,63,Wales,/265/789/24_180.png,
Reading,K. Ehibhatiomhan,ATA,20,63,England,/263/101/24_180.png,
Reading,J. Andrésson,GOL,21,63,Iceland,/244/867/24_180.png,
Reading,D. Bouzanis,GOL,32,63,Australia,/181/468/24_180.png,
Reading,C. Mola,LE ZAG,22,62,England,/246/126/24_180.png,
Reading,J. Dorsett,ZAG LE,21,62,England,/256/555/24_180.png,
Reading,T. Bindon,ZAG,18,62,New Zealand,/277/552/24_180.png,
Reading,Mamadi Camará,MEI MD ME,19,61,Guinea Bissau,/260/401/24_180.png,
Reading,C. Boyce-Clarke,GOL,20,61,Jamaica,/250/831/24_180.png,
Reading,C. Vickers,ATA MEI,18,61,England,/277/512/24_180.png,
Reading,B. Elliott,MC,20,59,Cameroon,/277/897/24_180.png,
Reading,M. Craig,VOL MC LD,20,59,Scotland,/271/929/24_180.png,
Reading,M. Carson,LE,20,57,England,/267/928/24_180.png,
Reading,L. Holzman,ZAG,19,55,England,/266/329/24_180.png,
Sheffield United,W. Foderingham,GOL,32,75,England,/193/182/24_180.png,
Sheffield United,A. Ahmedhodžić,ZAG,24,75,Bosnia,/236/524/24_180.png,
Sheffield United,Vinicius Souza,VOL MC ZAG,24,75,Brazil,/262/929/24_180.png,
Sheffield United,G. Hamer,MC VOL MEI,26,75,Netherlands,/234/741/24_180.png,
Sheffield United,J. Egan,ZAG,30,74,Ireland,/204/936/24_180.png,
Sheffield United,O. Norwood,VOL MC,32,74,Northern Ireland,/186/143/24_180.png,
Sheffield United,T. Davies,MC VOL,25,74,England,/230/005/24_180.png,
Sheffield United,J. Bogle,LD LD,22,73,England,/244/591/24_180.png,
Sheffield United,C. Archer,ATA,21,73,England,/258/930/24_180.png,
Sheffield United,A. Trusty,ZAG LE,24,73,United States,/235/755/24_180.png,
Sheffield United,C. Basham,ZAG,34,73,England,/184/274/24_180.png,
Sheffield United,J. Robinson,ZAG,29,72,England,/199/027/24_180.png,
Sheffield United,M. Lowe,LE LE,26,72,England,/212/100/24_180.png,
Sheffield United,O. McBurnie,ATA,27,72,Scotland,/220/031/24_180.png,
Sheffield United,G. Baldock,LD LD,30,71,Greece,/200/855/24_180.png,
Sheffield United,B. Osborn,LE ME MC,28,71,England,/210/985/24_180.png,
Sheffield United,J. Fleck,MC VOL,31,71,Scotland,/189/177/24_180.png,
Sheffield United,A. Davies,GOL,30,70,Wales,/200/715/24_180.png,
Sheffield United,R. Norrington-Davies,LE ZAG LE,24,69,Wales,/240/773/24_180.png,
Sheffield United,Y. Larouci,LE LE,22,69,Algeria,/252/302/24_180.png,
Sheffield United,R. Brewster,ATA,23,68,England,/238/460/24_180.png,
Sheffield United,A. Slimane,MC MEI,22,67,Tunisia,/255/210/24_180.png,
Sheffield United,B. Traoré,ATA PD,20,67,Ivory Coast,/260/651/24_180.png,
Sheffield United,I. Coulibaly,MC VOL,22,67,Mali,/246/946/24_180.png,
Sheffield United,D. Jebbison,ATA,19,66,England,/262/227/24_180.png,
Sheffield United,H. Neal,VOL MC,21,64,England,/270/491/24_180.png,
Sheffield United,O. Arblaster,MC,19,61,England,/271/063/24_180.png,
Sheffield United,H. Boyes,LE LE,21,61,England,/252/450/24_180.png,
Sheffield United,A. Hackford,ATA,19,60,England,/260/192/24_180.png,
Sheffield United,W. Osula,ATA,19,60,Denmark,/270/519/24_180.png,
Sheffield United,F. Seriki,LD LD,21,60,England,/264/196/24_180.png,
Sheffield United,J. Buyabu,LE,19,60,England,/276/064/24_180.png,
